millis,time,mode,dt_control,v_raw,v_hat,v_ref,z_ref,z_meas,u_intVertical,u_pi,leftThrust,rightThrust,
12002,18:00:21,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12102,18:00:21,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12202,18:00:21,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12302,18:00:21,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12404,18:00:21,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12504,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12604,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12704,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12804,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
12906,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13006,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13106,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13206,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13308,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13408,18:00:22,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13508,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13608,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13708,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13808,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
13908,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14008,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14108,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14208,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14310,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14410,18:00:23,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14510,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14610,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14712,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14812,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
14912,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15012,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15112,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15214,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15314,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15414,18:00:24,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15514,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15614,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15714,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15814,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
15914,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16014,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16116,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16216,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16316,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16416,18:00:25,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16516,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16618,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16718,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16818,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
16918,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17020,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17120,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17220,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17320,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17420,18:00:26,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17546,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17646,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17746,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17846,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
17946,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18048,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18150,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18250,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18350,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18453,18:00:27,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18553,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18653,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18753,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18853,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
18955,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19055,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19155,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19255,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19355,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19456,18:00:28,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19556,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19656,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19756,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19856,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
19956,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20056,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20156,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20256,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20356,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20456,18:00:29,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20556,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20656,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20756,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20856,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
20956,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21056,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21156,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
21259,18:00:30,SAFETY,0,0,0,0,0.5,0,0,0,0,0,
